command,mean,stddev,median,user,system,min,max,parameter_D,parameter_N,parameter_name
./run.sh 1brc_parallel_mmap 16 4,3.5868574051066666,0.0334314868491104,3.56932932644,41.70572107333333,0.5292961133333333,3.56583488444,3.62540800444,4,16,parallel_mmap
./run.sh 1brc_parallel_ptr2 16 4,4.86345062944,0.047703082796612506,4.86596923844,44.44229273999999,13.746256780000001,4.814538134439999,4.90984451544,4,16,parallel_ptr2
./run.sh 1brc_parallel_mmap 24 4,3.967118360106667,0.21995754375200594,3.90849662244,44.40041573999999,0.5991654466666666,3.7824106784400002,4.21044777944,4,24,parallel_mmap
./run.sh 1brc_parallel_ptr2 24 4,5.31987211444,0.02481887890332561,5.31082201844,46.43688207333332,11.487241113333333,5.30084830744,5.34794601744,4,24,parallel_ptr2
./run.sh 1brc_parallel_mmap 32 4,3.270408241106667,0.0488445220432798,3.25716703344,45.67043040666666,0.6922604466666668,3.22954947944,3.3245082104400003,4,32,parallel_mmap
./run.sh 1brc_parallel_ptr2 32 4,4.859866251773333,0.10230450063898339,4.89270010944,47.37575107333333,12.072937779999998,4.74517590744,4.941722738439999,4,32,parallel_ptr2
./run.sh 1brc_parallel_mmap 48 4,3.3962359147733334,0.043522279106824484,3.37359930744,45.82990974,0.7039224466666666,3.36869708544,3.44641135144,4,48,parallel_mmap
./run.sh 1brc_parallel_ptr2 48 4,4.72694062644,0.04331315354904253,4.742135967439999,47.20501407333333,10.968112446666666,4.67807728644,4.76060862544,4,48,parallel_ptr2
./run.sh 1brc_parallel_mmap 64 4,3.2814740031066667,0.027033319136150154,3.26992703844,45.329225073333326,0.7030371133333334,3.2621317324400003,3.31236323844,4,64,parallel_mmap
./run.sh 1brc_parallel_ptr2 64 4,4.769148927773332,0.07692286253102885,4.757296955439999,47.09202907333333,11.620178779999998,4.69883991644,4.85130991144,4,64,parallel_ptr2
./run.sh 1brc_parallel_mmap 16 8,4.406662573439999,0.22161488597270343,4.28777745444,36.48511874,0.5484004466666667,4.26985808444,4.662352181439999,8,16,parallel_mmap
./run.sh 1brc_parallel_ptr2 16 8,5.09943872344,0.21758275209242411,5.136531660439999,37.93075807333333,6.643179113333333,4.86569388244,5.29609062744,8,16,parallel_ptr2
./run.sh 1brc_parallel_mmap 24 8,3.7360933191066668,0.1371253175288296,3.77269810744,43.64887507333333,0.6387867799999999,3.58438020644,3.85120164344,8,24,parallel_mmap
./run.sh 1brc_parallel_ptr2 24 8,4.435320170773333,0.22392203363838906,4.380158811439999,44.97675240666666,8.603049446666667,4.24413386144,4.681667839439999,8,24,parallel_ptr2
./run.sh 1brc_parallel_mmap 32 8,3.3371019637733337,0.06267136220795481,3.3342422214400003,45.269591406666656,0.7673067799999999,3.27590942644,3.40115424344,8,32,parallel_mmap
./run.sh 1brc_parallel_ptr2 32 8,4.26261139744,0.14798916743450963,4.310265580439999,46.62731707333333,9.050754113333333,4.096666035439999,4.38090257644,8,32,parallel_ptr2
./run.sh 1brc_parallel_mmap 48 8,3.565295602106667,0.03048035089396373,3.5687314744400003,45.18170940666666,0.69447778,3.53324290244,3.59391242944,8,48,parallel_mmap
./run.sh 1brc_parallel_ptr2 48 8,4.539827741773333,0.3158176223864313,4.5154621194399995,47.04613673999999,8.040763113333332,4.23689865544,4.86712245044,8,48,parallel_ptr2
./run.sh 1brc_parallel_mmap 64 8,3.24447899344,0.03402929760160752,3.25011647444,46.21490540666665,0.7175721133333332,3.2079830024400002,3.2753375034400003,8,64,parallel_mmap
./run.sh 1brc_parallel_ptr2 64 8,4.293266235773333,0.027912610225176146,4.301092370439999,46.66725073999999,7.2180231133333335,4.262275917439999,4.31643041944,8,64,parallel_ptr2
./run.sh 1brc_parallel_mmap 16 16,6.634180482773332,0.13257337582093504,6.56905766244,32.247726406666665,0.48012678,6.546762879439999,6.786720906439999,16,16,parallel_mmap
./run.sh 1brc_parallel_ptr2 16 16,7.004005667773334,0.07467247248347861,6.98295675444,32.66284474,3.485483113333333,6.94211682744,7.08694342144,16,16,parallel_ptr2
./run.sh 1brc_parallel_mmap 24 16,4.090813728773333,0.03390655650939021,4.10144917444,37.661480739999995,0.5809504466666666,4.052864425439999,4.11812758644,16,24,parallel_mmap
./run.sh 1brc_parallel_ptr2 24 16,4.490236152773333,0.13696668929020075,4.54132713644,38.76913074,4.739452113333333,4.335067524439999,4.59431379744,16,24,parallel_ptr2
./run.sh 1brc_parallel_mmap 32 16,3.4071354917733334,0.03701967853136725,3.39937693144,44.141080073333335,0.6808764466666665,3.37460996244,3.44741958144,16,32,parallel_mmap
./run.sh 1brc_parallel_ptr2 32 16,4.04994704644,0.20405495964471668,4.04997696244,45.298815406666655,4.80090078,3.8458771304400003,4.25398704644,16,32,parallel_ptr2
./run.sh 1brc_parallel_mmap 48 16,3.3902373041066673,0.014279516340650798,3.38781627444,45.89369440666666,0.7591414466666667,3.37732306944,3.4055725684400002,16,48,parallel_mmap
./run.sh 1brc_parallel_ptr2 48 16,4.02881835944,0.040210982056131356,4.0104131794399995,46.71070507333334,7.404188779999999,4.00110401444,4.07493788444,16,48,parallel_ptr2
./run.sh 1brc_parallel_mmap 64 16,3.249957525773333,0.010778221463169495,3.25479180044,45.857563073333324,0.7366174466666666,3.23760850044,3.25747227644,16,64,parallel_mmap
./run.sh 1brc_parallel_ptr2 64 16,3.856249060773333,0.0594862227203475,3.83671678444,47.15893173999999,5.460125779999999,3.80898469544,3.92304570244,16,64,parallel_ptr2
./run.sh 1brc_parallel_mmap 16 24,8.24267478044,0.30643735995232363,8.26186842544,31.23977974,0.49208811333333324,7.92709175144,8.53906416444,24,16,parallel_mmap
./run.sh 1brc_parallel_ptr2 16 24,8.676663523773334,0.056038412299780266,8.650068170439999,31.300346073333333,2.548668113333333,8.63887481244,8.741047588439999,24,16,parallel_ptr2
./run.sh 1brc_parallel_mmap 24 24,4.950729533106666,0.10538440343928283,4.91477052244,33.93734007333333,0.5242151133333333,4.868030914439999,5.06938716244,24,24,parallel_mmap
./run.sh 1brc_parallel_ptr2 24 24,5.30548573644,0.25548670086280867,5.3080656704399996,33.84233207333333,3.2021114466666667,5.048718838439999,5.55967270044,24,24,parallel_ptr2
./run.sh 1brc_parallel_mmap 32 24,3.7446264657733335,0.057834883133032616,3.74258166844,41.23641673999999,0.6042737799999999,3.6878410984400003,3.80345663044,24,32,parallel_mmap
./run.sh 1brc_parallel_ptr2 32 24,4.071822272773333,0.07080867598437982,4.07828916844,40.945499739999995,3.7490667799999997,3.99800197744,4.1391756724399995,24,32,parallel_ptr2
./run.sh 1brc_parallel_mmap 48 24,3.3430598547733337,0.06867945842190866,3.35725435944,45.11752274,0.7401664466666666,3.26839223144,3.4035329734400004,24,48,parallel_mmap
./run.sh 1brc_parallel_ptr2 48 24,3.640871442106667,0.05707465155395399,3.6082621654400002,46.69322007333333,3.772548113333334,3.60757777244,3.70677438844,24,48,parallel_ptr2
./run.sh 1brc_parallel_mmap 64 24,3.38792953344,0.03180812327779334,3.37256212244,46.41840707333333,0.7679691133333332,3.36672312444,3.42450335344,24,64,parallel_mmap
./run.sh 1brc_parallel_ptr2 64 24,3.72016277244,0.09809182904104803,3.7687756724400003,46.84459107333333,5.2430591133333335,3.60725837444,3.78445427044,24,64,parallel_ptr2
./run.sh 1brc_parallel_mmap 16 32,9.99809600644,0.24786505265449552,10.027561324439999,30.714558073333333,0.4813764466666666,9.73681531844,10.22991137644,32,16,parallel_mmap
./run.sh 1brc_parallel_ptr2 16 32,10.374156930106667,0.15089634338427602,10.43635865944,30.693373073333333,2.169075446666667,10.20210247344,10.48400965744,32,16,parallel_ptr2
./run.sh 1brc_parallel_mmap 24 32,5.599386003439999,0.10937436983545902,5.66050744844,31.99726574,0.47384944666666656,5.47311279744,5.6645377644399995,32,24,parallel_mmap
./run.sh 1brc_parallel_ptr2 24 32,6.218779124106667,0.10544530729974796,6.185500602439999,32.41473107333333,2.80800178,6.13398802544,6.336848744439999,32,24,parallel_ptr2
./run.sh 1brc_parallel_mmap 32 32,4.12800409144,0.06624109834344785,4.15786284044,37.21687373999999,0.6282677799999999,4.05208927244,4.17406016144,32,32,parallel_mmap
./run.sh 1brc_parallel_ptr2 32 32,4.4998736934400005,0.13049742680350504,4.57261904944,37.11697340666666,2.8355591133333333,4.34921775644,4.57778427444,32,32,parallel_ptr2
./run.sh 1brc_parallel_mmap 48 32,3.41873635644,0.03373051252604529,3.40309352944,45.45634440666666,0.7835101133333332,3.39566725444,3.4574482854400004,32,48,parallel_mmap
./run.sh 1brc_parallel_ptr2 48 32,3.6920951281066667,0.061694059222741876,3.6748057264400003,46.69571407333333,3.5829087800000003,3.6408903144400004,3.76058934344,32,48,parallel_ptr2
./run.sh 1brc_parallel_mmap 64 32,3.4164837731066666,0.06412682816324519,3.3864637284400003,46.42917140666666,0.7838144466666667,3.3728734254400004,3.49011416544,32,64,parallel_mmap
./run.sh 1brc_parallel_ptr2 64 32,3.6053966127733337,0.01184384272706935,3.6002003094400004,46.740814406666665,4.263785446666667,3.5970391524400003,3.6189503764400004,32,64,parallel_ptr2
./run.sh 1brc_parallel_mmap 16 48,12.803190749439999,0.12037879874280533,12.864385541439999,30.381614073333335,0.46419611333333327,12.66450795544,12.88067875144,48,16,parallel_mmap
./run.sh 1brc_parallel_ptr2 16 48,13.160740270773333,0.13053616500442458,13.22468067344,30.145346073333332,1.7725354466666667,13.01056089444,13.24697924444,48,16,parallel_ptr2
./run.sh 1brc_parallel_mmap 24 48,7.549230507773333,0.34775251526061407,7.70666049644,31.303252739999994,0.5495271133333333,7.15060355544,7.790427471439999,48,24,parallel_mmap
./run.sh 1brc_parallel_ptr2 24 48,7.63394167044,0.21267794796892828,7.56348501844,31.008044740000003,2.093220113333334,7.46543289944,7.872907093439999,48,24,parallel_ptr2
./run.sh 1brc_parallel_mmap 32 48,4.877722312106666,0.022014894312454073,4.86582610044,32.75014507333333,0.5686084466666667,4.86421493844,4.90312589744,48,32,parallel_mmap
./run.sh 1brc_parallel_ptr2 32 48,4.87073817744,0.6420917595847686,5.02344358744,36.51530640666667,2.44623178,4.1660602214399995,5.42271072344,48,32,parallel_ptr2
./run.sh 1brc_parallel_mmap 48 48,3.466680703773333,0.03630192485369921,3.4685537984400003,44.245160739999996,0.7683014466666666,3.42947849244,3.50200982044,48,48,parallel_mmap
./run.sh 1brc_parallel_ptr2 48 48,3.739733147106667,0.048653384236256716,3.73206675244,45.108902073333326,3.075898113333333,3.6953680914400002,3.7917645974400003,48,48,parallel_ptr2
./run.sh 1brc_parallel_mmap 64 48,3.35488125344,0.01927292867870335,3.3448765214400002,46.385179073333326,0.8346524466666665,3.34266808044,3.37709915844,48,64,parallel_mmap
./run.sh 1brc_parallel_ptr2 64 48,3.56798506844,0.116681155228906,3.5744276754400004,47.69202007333333,3.0712564466666668,3.44821608544,3.68131144444,48,64,parallel_ptr2
